cest;cest_normalizado;ncm_sh;authority_source_id;ingestion_source_id;snapshot_gerado_em
01.001.00;0100100;3815.12.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.001.00;0100100;3815.12.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.002.00;0100200;3917;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.003.00;0100300;3918.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.004.00;0100400;3923.30.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.005.00;0100500;3926.30.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.006.00;0100600;4010.3;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.006.00;0100600;5910.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.007.00;0100700;4016.93.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.007.00;0100700;4823.90.9;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.008.00;0100800;4016.10.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.009.00;0100900;4016.99.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.009.00;0100900;5705.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.010.00;0101000;5903.90.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.011.00;0101100;5909.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.012.00;0101200;6306.1;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.013.00;0101300;6506.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.014.00;0101400;6813;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.015.00;0101500;7007.11.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.015.00;0101500;7007.21.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.016.00;0101600;7009.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.017.00;0101700;7014.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.018.00;0101800;7311.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.019.00;0101900;7311.00.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.020.00;0102000;7320;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.021.00;0102100;7325;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.022.00;0102200;7806.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.023.00;0102300;8007.00.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.024.00;0102400;8301.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.024.00;0102400;8301.60;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.025.00;0102500;8301.70;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.026.00;0102600;8302.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.026.00;0102600;8302.30.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.027.00;0102700;8310.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.028.00;0102800;8407.3;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.029.00;0102900;8408.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.030.00;0103000;8409.9;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.031.00;0103100;8412.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.032.00;0103200;8413.30;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.033.00;0103300;8414.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.034.00;0103400;8414.80.1;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.034.00;0103400;8414.80.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.035.00;0103500;8413.91.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.035.00;0103500;8414.90.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.035.00;0103500;8414.90.3;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.035.00;0103500;8414.90.39;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.036.00;0103600;8415.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.037.00;0103700;8421.23.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.038.00;0103800;8421.29.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.039.00;0103900;8421.9;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.040.00;0104000;8424.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.041.00;0104100;8421.31.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.042.00;0104200;8421.32.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.043.00;0104300;8425.42.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.044.00;0104400;8431.10.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.045.00;0104500;8431.49.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.045.01;0104501;8433.90.90;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.046.00;0104600;8481.10.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.047.00;0104700;8481.2;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.048.00;0104800;8481.80.92;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.049.00;0104900;8482;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.050.00;0105000;8483;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.051.00;0105100;8484;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.052.00;0105200;8505.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.053.00;0105300;8507.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.053.01;0105301;8507.10.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.054.00;0105400;8511;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.055.00;0105500;8512.20;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.055.00;0105500;8512.40;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.055.00;0105500;8512.90.00;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.056.00;0105600;8517.14.10;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
01.057.00;0105700;8518;CONFAZ_CV142_18;TABELASFISCAIS_SNAPSHOT;2026-08-10T11:41:31.190Z
